X좌표(경도),Y좌표(위도),버스정류장 개수
126.73 ~ 126.7359,37.41 ~ 37.4141,0
126.73 ~ 126.7359,37.4141 ~ 37.4182,0
126.73 ~ 126.7359,37.4182 ~ 37.4223,0
126.73 ~ 126.7359,37.4223 ~ 37.426399999999994,0
126.73 ~ 126.7359,37.426399999999994 ~ 37.430499999999995,0
126.73 ~ 126.7359,37.430499999999995 ~ 37.434599999999996,0
126.73 ~ 126.7359,37.434599999999996 ~ 37.4387,0
126.73 ~ 126.7359,37.4387 ~ 37.4428,0
126.73 ~ 126.7359,37.4428 ~ 37.4469,0
126.73 ~ 126.7359,37.4469 ~ 37.45099999999999,0
126.73 ~ 126.7359,37.45099999999999 ~ 37.455099999999995,0
126.73 ~ 126.7359,37.455099999999995 ~ 37.459199999999996,0
126.73 ~ 126.7359,37.459199999999996 ~ 37.4633,0
126.73 ~ 126.7359,37.4633 ~ 37.4674,0
126.73 ~ 126.7359,37.4674 ~ 37.4715,0
126.73 ~ 126.7359,37.4715 ~ 37.4756,0
126.73 ~ 126.7359,37.4756 ~ 37.479699999999994,0
126.73 ~ 126.7359,37.479699999999994 ~ 37.483799999999995,0
126.73 ~ 126.7359,37.483799999999995 ~ 37.487899999999996,0
126.73 ~ 126.7359,37.487899999999996 ~ 37.492,0
126.73 ~ 126.7359,37.492 ~ 37.4961,0
126.73 ~ 126.7359,37.4961 ~ 37.5002,0
126.73 ~ 126.7359,37.5002 ~ 37.50429999999999,0
126.73 ~ 126.7359,37.50429999999999 ~ 37.508399999999995,0
126.73 ~ 126.7359,37.508399999999995 ~ 37.512499999999996,0
126.73 ~ 126.7359,37.512499999999996 ~ 37.5166,0
126.73 ~ 126.7359,37.5166 ~ 37.5207,0
126.73 ~ 126.7359,37.5207 ~ 37.5248,0
126.73 ~ 126.7359,37.5248 ~ 37.52889999999999,0
126.73 ~ 126.7359,37.52889999999999 ~ 37.532999999999994,0
126.73 ~ 126.7359,37.532999999999994 ~ 37.537099999999995,0
126.73 ~ 126.7359,37.537099999999995 ~ 37.541199999999996,0
126.73 ~ 126.7359,37.541199999999996 ~ 37.5453,0
126.73 ~ 126.7359,37.5453 ~ 37.5494,0
126.73 ~ 126.7359,37.5494 ~ 37.5535,0
126.73 ~ 126.7359,37.5535 ~ 37.557599999999994,0
126.73 ~ 126.7359,37.557599999999994 ~ 37.561699999999995,0
126.73 ~ 126.7359,37.561699999999995 ~ 37.565799999999996,0
126.73 ~ 126.7359,37.565799999999996 ~ 37.5699,0
126.73 ~ 126.7359,37.5699 ~ 37.574,0
126.73 ~ 126.7359,37.574 ~ 37.5781,0
126.73 ~ 126.7359,37.5781 ~ 37.58219999999999,0
126.73 ~ 126.7359,37.58219999999999 ~ 37.586299999999994,0
126.73 ~ 126.7359,37.586299999999994 ~ 37.590399999999995,0
126.73 ~ 126.7359,37.590399999999995 ~ 37.5945,0
126.73 ~ 126.7359,37.5945 ~ 37.5986,0
126.73 ~ 126.7359,37.5986 ~ 37.6027,0
126.73 ~ 126.7359,37.6027 ~ 37.6068,0
126.73 ~ 126.7359,37.6068 ~ 37.610899999999994,0
126.73 ~ 126.7359,37.610899999999994 ~ 37.614999999999995,0
126.73 ~ 126.7359,37.614999999999995 ~ 37.619099999999996,0
126.73 ~ 126.7359,37.619099999999996 ~ 37.6232,0
126.73 ~ 126.7359,37.6232 ~ 37.6273,0
126.73 ~ 126.7359,37.6273 ~ 37.6314,0
126.73 ~ 126.7359,37.6314 ~ 37.63549999999999,0
126.73 ~ 126.7359,37.63549999999999 ~ 37.639599999999994,0
126.73 ~ 126.7359,37.639599999999994 ~ 37.643699999999995,0
126.73 ~ 126.7359,37.643699999999995 ~ 37.6478,0
126.73 ~ 126.7359,37.6478 ~ 37.6519,0
126.73 ~ 126.7359,37.6519 ~ 37.656,0
126.73 ~ 126.7359,37.656 ~ 37.6601,0
126.73 ~ 126.7359,37.6601 ~ 37.664199999999994,0
126.73 ~ 126.7359,37.664199999999994 ~ 37.668299999999995,0
126.73 ~ 126.7359,37.668299999999995 ~ 37.672399999999996,0
126.73 ~ 126.7359,37.672399999999996 ~ 37.6765,0
126.73 ~ 126.7359,37.6765 ~ 37.6806,0
126.73 ~ 126.7359,37.6806 ~ 37.6847,0
126.73 ~ 126.7359,37.6847 ~ 37.68879999999999,0
126.73 ~ 126.7359,37.68879999999999 ~ 37.692899999999995,0
126.73 ~ 126.7359,37.692899999999995 ~ 37.696999999999996,0
126.73 ~ 126.7359,37.696999999999996 ~ 37.7011,0
126.73 ~ 126.7359,37.7011 ~ 37.7052,0
126.73 ~ 126.7359,37.7052 ~ 37.7093,0
126.73 ~ 126.7359,37.7093 ~ 37.7134,0
126.73 ~ 126.7359,37.7134 ~ 37.717499999999994,0
126.7359 ~ 126.7418,37.41 ~ 37.4141,0
126.7359 ~ 126.7418,37.4141 ~ 37.4182,0
126.7359 ~ 126.7418,37.4182 ~ 37.4223,0
126.7359 ~ 126.7418,37.4223 ~ 37.426399999999994,0
126.7359 ~ 126.7418,37.426399999999994 ~ 37.430499999999995,0
126.7359 ~ 126.7418,37.430499999999995 ~ 37.434599999999996,0
126.7359 ~ 126.7418,37.434599999999996 ~ 37.4387,0
126.7359 ~ 126.7418,37.4387 ~ 37.4428,0
126.7359 ~ 126.7418,37.4428 ~ 37.4469,0
126.7359 ~ 126.7418,37.4469 ~ 37.45099999999999,0
126.7359 ~ 126.7418,37.45099999999999 ~ 37.455099999999995,0
126.7359 ~ 126.7418,37.455099999999995 ~ 37.459199999999996,0
126.7359 ~ 126.7418,37.459199999999996 ~ 37.4633,0
126.7359 ~ 126.7418,37.4633 ~ 37.4674,0
126.7359 ~ 126.7418,37.4674 ~ 37.4715,0
126.7359 ~ 126.7418,37.4715 ~ 37.4756,0
126.7359 ~ 126.7418,37.4756 ~ 37.479699999999994,0
126.7359 ~ 126.7418,37.479699999999994 ~ 37.483799999999995,0
126.7359 ~ 126.7418,37.483799999999995 ~ 37.487899999999996,0
126.7359 ~ 126.7418,37.487899999999996 ~ 37.492,0
126.7359 ~ 126.7418,37.492 ~ 37.4961,0
126.7359 ~ 126.7418,37.4961 ~ 37.5002,0
126.7359 ~ 126.7418,37.5002 ~ 37.50429999999999,0
126.7359 ~ 126.7418,37.50429999999999 ~ 37.508399999999995,0
126.7359 ~ 126.7418,37.508399999999995 ~ 37.512499999999996,0
126.7359 ~ 126.7418,37.512499999999996 ~ 37.5166,0
126.7359 ~ 126.7418,37.5166 ~ 37.5207,0
126.7359 ~ 126.7418,37.5207 ~ 37.5248,0
126.7359 ~ 126.7418,37.5248 ~ 37.52889999999999,0
126.7359 ~ 126.7418,37.52889999999999 ~ 37.532999999999994,0
126.7359 ~ 126.7418,37.532999999999994 ~ 37.537099999999995,0
126.7359 ~ 126.7418,37.537099999999995 ~ 37.541199999999996,0
126.7359 ~ 126.7418,37.541199999999996 ~ 37.5453,0
126.7359 ~ 126.7418,37.5453 ~ 37.5494,0
126.7359 ~ 126.7418,37.5494 ~ 37.5535,0
126.7359 ~ 126.7418,37.5535 ~ 37.557599999999994,0
