소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
"서울특별시 광진구 광장로3길 22 (광장동, 미도빌라)",서울특별시 광진구 광장동 266,생활방범,1,2017-04
서울특별시 광진구 아차산로70길 35 (광장동),서울특별시 광진구 광장동 554,생활방범,2,2017-04
"서울특별시 광진구 아차산로 540 (광장동, 상록타워포철사원임대아파트)",서울특별시 광진구 광장동 570,생활방범,1,2015-12
"서울특별시 광진구 아차산로78길 53 (광장동, 동북아 스위트힐아파트)",서울특별시 광진구 광장동 107-1,생활방범,1,2017-04
서울특별시 광진구 아차산로 636 (광장동),서울특별시 광진구 광장동 148-6,생활방범,1,2017-12
서울특별시 광진구 천호대로 809 (광장동),서울특별시 광진구 광장동 244-18,생활방범,4,2013-12
"서울특별시 광진구 아차산로75길 25 (광장동, 코지하우스)",서울특별시 광진구 광장동 248-19,생활방범,3,2017-04
서울특별시 광진구 아차산로76길 19 (광장동),서울특별시 광진구 광장동 320-8,생활방범,1,2012-12
서울특별시 광진구 아차산로78길 176 (광장동),서울특별시 광진구 광장동 323-7,생활방범,1,2008-12
서울특별시 광진구 광장로1다길 60 (광장동),서울특별시 광진구 광장동 370-5,생활방범,1,2013-12
서울특별시 광진구 광장로1나길 16 (광장동),서울특별시 광진구 광장동 393-6,생활방범,1,2014-12
서울특별시 광진구 광장로 1 (광장동),서울특별시 광진구 광장동 401-17,생활방범,2,2015-12
서울특별시 광진구 아차산로66길 66 (광장동),서울특별시 광진구 광장동 458-1,생활방범,1,2017-04
"서울특별시 광진구 구의로 13-6 (구의동, 영화빌리지)",서울특별시 광진구 구의1동 221-21,생활방범,1,2014-12
서울특별시 광진구 아차산로57길 14 (구의동),서울특별시 광진구 구의1동 221-59,생활방범,1,2015-12
서울특별시 광진구 자양로26길 91-14 (구의동),서울특별시 광진구 구의1동 222-6,생활방범,1,2013-12
서울특별시 광진구 광나루로40길 17 (구의동),서울특별시 광진구 구의1동 226-10,생활방범,4,2014-12
서울특별시 광진구 자양로30길 79 (구의동),서울특별시 광진구 구의1동 226-18,생활방범,1,2014-12
"서울특별시 광진구 구의로 65 (구의동, KS홈타운)",서울특별시 광진구 구의1동 226-2,생활방범,1,2017-04
서울특별시 광진구 자양로30길 87-10 (구의동),서울특별시 광진구 구의1동 226-20,생활방범,4,2013-12
서울특별시 광진구 광나루로38길 27 (구의동),서울특별시 광진구 구의1동 231-34,생활방범,3,2014-12
서울특별시 광진구 구의로11길 28 (구의동),서울특별시 광진구 구의1동 231-60,생활방범,1,2013-12
서울특별시 광진구 자양로30길 43 (구의동),서울특별시 광진구 구의1동 232-39,생활방범,3,2014-12
서울특별시 광진구 자양로32길 31 (구의동),서울특별시 광진구 구의1동 233-14,생활방범,1,2014-12
서울특별시 광진구 자양로30길 14,서울특별시 광진구 구의1동 236-55,생활방범,3,2014-12
서울특별시 광진구 자양로28길 73 (구의동),서울특별시 광진구 구의1동 239-45,생활방범,1,2014-12
서울특별시 광진구 자양로22길 89 (구의동),서울특별시 광진구 구의1동 241-9,생활방범,1,2014-12
서울특별시 광진구 구의로1길 12 (구의동),서울특별시 광진구 구의1동 242-109,생활방범,1,2013-12
서울특별시 광진구 구의로1길 26 (구의동),서울특별시 광진구 구의1동 242-63,생활방범,1,2012-12
서울특별시 광진구 아차산로53길 77 (구의동),서울특별시 광진구 구의1동 248-16,생활방범,4,2013-12
서울특별시 광진구 자양로26길 45-7,서울특별시 광진구 구의1동 249-33,생활방범,1,2017-04
서울특별시 광진구 광나루로36길 68 (구의동),서울특별시 광진구 구의1동 250-1,생활방범,4,2013-12
서울특별시 광진구 자양로26길 14 (구의동),서울특별시 광진구 구의1동 251-154,생활방범,1,2014-12
"서울특별시 광진구 아차산로49길 70 (구의동, 대림파크빌)",서울특별시 광진구 구의1동 251-72,생활방범,1,2013-12
서울특별시 광진구 아차산로51길 23 (구의동),서울특별시 광진구 구의1동 252-119,생활방범,3,2014-12
서울특별시 광진구 아차산로49길 32 (구의동),서울특별시 광진구 구의1동 252-127,생활방범,1,2017-04
서울특별시 광진구 아차산로49길 50 (구의동),서울특별시 광진구 구의1동 252-55,생활방범,1,2012-12
서울특별시 광진구 자양로23길 86 (구의동),서울특별시 광진구 구의1동 254-97,생활방범,1,2017-04
"서울특별시 광진구 아차산로55길 23 (구의동, 신일아트빌라)",서울특별시 광진구 구의1동 257-12,생활방범,4,2011-12
서울특별시 광진구 아차산로53길 53 (구의동),서울특별시 광진구 구의1동 257-15,생활방범,1,2017-04
서울특별시 광진구 아차산로53길 29 (구의동),서울특별시 광진구 구의1동 257-22,생활방범,1,2014-12
서울특별시 광진구 아차산로53길 38-12 (구의동),서울특별시 광진구 구의1동 257-27,생활방범,1,2015-12
"서울특별시 광진구 광나루로30가길 9 (구의동, 드림스카이빌)",서울특별시 광진구 구의1동 633-17,생활방범,1,2017-04
"서울특별시 광진구 자양로44길 141-7 (구의동, 태진빌리지)",서울특별시 광진구 구의2동 35-10,생활방범,1,2013-12
서울특별시 광진구 자양로44길 69 (구의동),서울특별시 광진구 구의2동 43-11,생활방범,1,2014-12
