기간,대분류,분류,경제적 여건,교육 환경,교통 여건,자녀육아 및 양육,거주안정성/주변치안,재테크 수단,공원 및 녹지여건,편익/위락시설,해당 지역의 이미지,기타,주차/방 개수 등,생활 환경
2015,서울시,서울시,49.7,7,14.7,4.2,10.6,1.4,1,1.2,7.3,3,-,-
2015,성별,남자,48,7.9,14.6,4.6,10.7,1.4,1.1,1.3,7.5,2.9,-,-
2015,성별,여자,56.4,3.5,15,2.4,10.2,1.3,0.8,0.5,6.6,3.2,-,-
2015,연령별,20대 이하,52.1,7.5,19.2,4.3,5.6,2.8,0.1,0.8,4.3,3.3,-,-
2015,연령별,30대,49.6,10.2,14.3,8.6,7.8,1.1,0.4,0.6,5.8,1.6,-,-
2015,연령별,40대,46.2,11.4,14.4,5.5,9.9,1.2,1.5,1.4,6,2.5,-,-
2015,연령별,50대,47.2,4.4,16.7,1.6,13.5,1.3,1.2,1.9,8.8,3.5,-,-
2015,연령별,60대 이상,54,2.5,12.4,1.1,12.7,1.3,1.3,1,9.5,4.1,-,-
2015,학력별,중졸 이하,56.6,3,12.9,1.3,10.8,1.9,1.2,1,7.9,3.3,-,-
2015,학력별,고졸 이하,48.7,5.4,15,3.8,11.7,1.4,1.2,1.4,8.4,3,-,-
2015,학력별,대졸 이하,49.3,8.6,14.7,4.9,9.8,1.3,0.8,1.1,6.5,3,-,-
2015,학력별,대학원 이상,49.5,10.5,16.8,4.3,9.6,1.2,0.8,-,6.3,1,-,-
2015,주택형태,단독주택,50.7,7,14.6,3.9,9.9,1.3,1,1.2,7.4,2.9,-,-
2015,주택형태,아파트,49.3,7,14.1,4.3,11.3,1.3,1,1.2,7.2,3.3,-,-
2015,주택형태,다세대주택,51.2,7.5,14.6,3.7,9.7,1.6,1.2,1,6.7,2.8,-,-
2015,주택형태,연립/기타,45.8,6.6,17.2,5.4,10.8,1.5,0.9,1.3,8.4,2.1,-,-
